"Grade","Students","Female","Female_Percentage","Male","Male_Percentage","State","State_Percentage","School_Year"
"Grade-10",NA,2413,1.7,3084,2.1,NA,NA,"1998-99"
"Grade-10",NA,1947,1.4,2684,1.8,NA,NA,"1999-00"
"Grade-10",NA,1585,1.1,2083,1.3,NA,NA,"2000-01"
"Grade-10",NA,1613,1.1,2079,1.3,NA,NA,"2001-02"
"Grade-10",NA,1616,1.1,2222,1.4,NA,NA,"2002-03"
"Grade-10",NA,1570,1,2147,1.3,NA,NA,"2003-04"
"Grade-10",NA,1647,1,2333,1.4,NA,NA,"2004-05"
"Grade-10",335853,4389,2.7,6608,3.9,10997,3.3,"2005-06"
"Grade-10",337415,4568,2.8,6581,3.8,11149,3.3,"2006-07"
"Grade-10",339921,3928,2.4,5637,3.2,9565,2.8,"2007-08"
"Grade-10",338835,3319,2,4711,2.7,8030,2.4,"2008-09"
"Grade-10",339122,2881,1.7,4090,2.4,6971,2.1,"2009-10"
"Grade-10",347847,2870,1.7,4254,2.4,7124,2,"2010-11"
"Grade-10",352852,3151,1.8,4529,2.5,7680,2.2,"2011-12"
"Grade-10",353906,2790,1.6,4130,2.3,6920,2,"2012-13"
"Grade-10",370799,2733,1.5,4196,2.2,6929,1.9,"2013-14"
"Grade-10",382621,2867,1.5,4412,2.3,7279,1.9,"2014-15"
"Grade-10",395615,2927,1.5,4491,2.2,7418,1.9,"2015-16"
"Grade-10",404683,2888,1.5,4593,2.2,7481,1.8,"2016-17"
"Grade-10",406109,3185,1.6,4855,2.3,8040,2,"2017-18"
"Grade-10",409878,3291,1.6,4941,2.4,8232,2,"2018-19"
