"Grade","Students","Female","Female_Percentage","Male","Male_Percentage","State","State_Percentage","School_Year"
"Grade-7",NA,476,0.3,463,0.3,NA,NA,"1998-99"
"Grade-7",NA,342,0.2,361,0.2,NA,NA,"1999-00"
"Grade-7",NA,283,0.2,252,0.2,NA,NA,"2000-01"
"Grade-7",NA,257,0.2,257,0.2,NA,NA,"2001-02"
"Grade-7",NA,251,0.2,261,0.2,NA,NA,"2002-03"
"Grade-7",NA,201,0.1,235,0.1,NA,NA,"2003-04"
"Grade-7",NA,211,0.1,229,0.1,NA,NA,"2004-05"
"Grade-7",350516,514,0.3,625,0.3,1139,0.3,"2005-06"
"Grade-7",340919,499,0.3,610,0.3,1109,0.3,"2006-07"
"Grade-7",349153,356,0.2,381,0.2,737,0.2,"2007-08"
"Grade-7",351448,353,0.2,466,0.3,819,0.2,"2008-09"
"Grade-7",358966,251,0.1,344,0.2,595,0.2,"2009-10"
"Grade-7",365181,241,0.1,288,0.2,529,0.1,"2010-11"
"Grade-7",373584,327,0.2,362,0.2,689,0.2,"2011-12"
"Grade-7",384718,387,0.2,584,0.3,971,0.3,"2012-13"
"Grade-7",394063,419,0.2,703,0.3,1122,0.3,"2013-14"
"Grade-7",391394,435,0.2,558,0.3,993,0.3,"2014-15"
"Grade-7",397693,460,0.2,561,0.3,1021,0.3,"2015-16"
"Grade-7",404453,525,0.3,585,0.3,1110,0.3,"2016-17"
"Grade-7",410528,655,0.3,748,0.4,1403,0.3,"2017-18"
"Grade-7",415568,684,0.3,805,0.4,1489,0.4,"2018-19"
